a,b,a_radius,b_radius,a_lat,a_lng,b_lat,b_lng,local_remote
8647860_L,8647860_R1,100,100,32.2217,-110.9258,40.7039,-105.0081,1
8802091_L,8802091_R1,100,100,39.0444,-77.1192,37.775,-122.4183,1
9150656_L,9150656_R1,100,100,39.0444,-77.1192,37.775,-122.4183,1
9441049_L,9441049_R1,100,100,39.0444,-77.1192,37.775,-122.4183,1
9714295_L,9714295_R1,100,100,39.0444,-77.1192,37.775,-122.4183,1
9714296_L,9714296_R1,100,100,39.0444,-77.1192,37.775,-122.4183,1
9896508_L,9896508_R1,100,100,39.0828,-77.2653,37.775,-122.4183,1
8346328_L,8346328_R1,100,100,37.3842,-122.2342,44.8547,-93.4706,1
8352004_L,8352004_R1,100,100,37.3842,-122.2342,44.8547,-93.4706,1
8372014_L,8372014_R1,100,100,41.42,-73.2825,33.8492,-118.3875,1
8386010_L,8386010_R1,100,100,41.42,-73.2825,37.4853,-122.2353,1
8443294_L,8443294_R1,100,100,32.7153,-117.1564,32.7833,-96.8,1
8622916_L,8622916_R1,100,100,32.5839,-117.1122,40.7142,-74.0064,1
8628523_L,8628523_R1,100,100,40.015,-105.27,37.3689,-122.0353,1
8663213_L,8663213_R1,100,100,37.775,-122.4183,40.015,-105.27,1
8672933_L,8672933_R1,100,100,40.015,-105.27,37.3689,-122.0353,1
8740893_L,8740893_R1,100,100,37.3689,-122.0353,40.015,-105.27,1
8758243_L,8758243_R1,100,100,37.78,-121.9769,47.6064,-122.3308,1
8764765_L,8764765_R1,100,100,41.2428,-73.2011,32.8156,34.9892,1
8784333_L,8784333_R1,100,100,37.3542,-121.9542,32.5006,-94.7403,1
8808282_L,8808282_R1,100,100,37.3842,-122.2342,40.1672,-105.1014,1
8855734_L,8855734_R1,100,100,37.3842,-122.2342,44.8547,-93.4706,1
8911459_L,8911459_R1,100,100,37.43,-122.2528,32.5006,-94.7403,1
8961407_L,8961407_R1,100,100,41.2428,-73.2011,32.8156,34.9892,1
8974452_L,8974452_R1,100,100,37.775,-122.4183,40.015,-105.27,1
8974524_L,8974524_R1,100,100,38.4406,-122.7133,44.98,-93.2636,1
8998980_L,8998980_R1,100,100,38.4406,-122.7133,45.0792,-93.1469,1
9011486_L,9011486_R1,100,100,38.5472,-122.8153,47.6589,-117.425,1
9011486_L,9011486_R2,100,100,38.5472,-122.8153,35.8217,-84.0481,1
9011486_R1,9011486_R2,100,100,47.6589,-117.425,35.8217,-84.0481,0
9039691_L,9039691_R1,100,100,39.7392,-104.9842,37.4539,-122.1811,1
9072524_L,9072524_R1,100,100,39.7392,-104.9842,37.4539,-122.1811,1
9072524_L,9072524_R2,100,100,39.7392,-104.9842,34.9247,-81.0253,1
9072524_R1,9072524_R2,100,100,37.4539,-122.1811,34.9247,-81.0253,0
9084835_L,9084835_R1,100,100,38.4406,-122.7133,47.6589,-117.425,1
9084835_L,9084835_R2,100,100,38.4406,-122.7133,35.8217,-84.0481,1
